3130,309,0.00,2.0,3.1
3207,310,0.00,2.8,3.6
3285,311,0.00,3.8,3.7
3363,312,0.00,4.5,3.7
3446,313,0.00,4.4,3.5
3530,313,0.00,4.0,3.1
3603,314,0.00,4.2,2.8
3668,314,0.00,4.6,2.6
3742,314,0.00,5.0,2.0
3827,315,0.00,5.5,1.4
3907,315,0.00,6.4,0.9
3976,315,0.00,7.3,0.8
4041,315,0.00,8.0,1.0
4102,315,0.00,8.7,0.9
4178,315,0.00,9.2,0.6
4241,316,0.00,9.3,0.5
4295,316,0.00,9.0,0.2
4344,316,0.00,9.1,-0.5
4394,316,0.00,9.1,-0.8
4462,316,0.00,8.7,-1.2
4528,316,0.00,8.6,-1.5
4592,317,0.00,9.1,-1.6
