height,R0,R1,R2,R3,R4,R5,R6
2080,313.45,321.67,326.73,317.72,334.56,300.38,296.15
2100,313.61,322.1,327.15,317.93,335.09,300.47,296.24
2120,313.76,322.53,327.58,318.14,335.63,300.55,296.33
2140,313.92,322.96,328.01,318.35,336.06,300.64,296.42
2160,314.08,323.39,328.44,318.56,336.49,300.72,296.52
2180,314.25,323.83,328.87,318.75,336.89,300.8,296.61
2200,314.41,324.27,329.31,318.93,337.3,300.87,296.7
2220,314.58,324.7,329.74,319.11,337.7,300.95,296.8
2240,314.74,325.14,330.18,319.29,338.1,301.03,296.89
2260,314.91,325.56,330.6,319.47,338.48,301.1,296.98
2280,315.08,325.97,331.01,319.66,338.85,301.17,297.07
2300,315.24,326.38,331.43,319.85,339.22,301.25,297.16
2320,315.41,326.79,331.84,320.04,339.6,301.32,297.25
2340,315.58,327.2,332.25,320.23,339.97,301.39,297.34
2360,315.75,327.61,332.66,320.42,340.35,301.47,297.44
2380,315.92,327.99,333.05,320.62,340.72,301.54,297.53
2400,316.08,328.38,333.44,320.82,341.1,301.62,297.62
2420,316.25,328.77,333.83,321.03,341.48,301.69,297.72
2440,316.41,329.16,334.22,321.24,341.86,301.77,297.81
2460,316.58,329.54,334.6,321.45,342.25,301.85,297.9
2480,316.74,329.93,334.99,321.66,342.64,301.92,298
2500,316.9,330.31,335.37,321.88,343.05,302,298.09
2520,317.06,330.69,335.75,322.1,343.45,302.07,298.18
2540,317.21,331.07,336.13,322.32,343.86,302.15,298.27
2560,317.37,331.46,336.51,322.54,344.27,302.22,298.36
2580,317.53,331.84,336.9,322.76,344.68,302.3,298.44
2600,317.68,332.23,337.28,322.98,345.1,302.37,298.53
2620,317.83,332.62,337.67,323.2,345.52,302.44,298.62
2640,317.98,333.02,338.06,323.43,345.95,302.52,298.7
2660,318.13,333.41,338.46,323.65,346.38,302.58,298.79
2680,318.28,333.81,338.85,323.87,346.8,302.65,298.87
2700,318.44,334.19,339.24,324.09,347.21,302.72,298.96
2720,318.59,334.58,339.62,324.31,347.61,302.79,299.04
2740,318.75,334.97,340.01,324.5,347.99,302.86,299.11
2760,318.91,335.35,340.39,324.69,348.38,302.92,299.19
2780,319.07,335.74,340.78,324.88,348.76,302.98,299.26
2800,319.23,336.12,341.16,325.08,349.14,303.05,299.34
2820,319.39,336.5,341.55,325.27,349.52,303.11,299.41
2840,319.55,336.89,341.93,325.46,349.91,303.17,299.48
2860,319.71,337.27,342.32,325.65,350.29,303.23,299.55
2880,319.87,337.66,342.7,325.85,350.67,303.29,299.62
2900,320.03,338.04,343.09,326.04,351.06,303.34,299.69
2920,320.19,338.43,343.48,326.23,351.44,303.4,299.75
2940,320.35,338.81,343.86,326.42,351.82,303.46,299.82
2960,320.51,339.19,344.25,326.62,352.2,303.51,299.88
2980,320.67,339.58,344.63,326.81,352.59,303.57,299.95
3000,320.83,339.96,345.02,327,352.97,303.62,300.01
3020,320.99,340.35,345.4,327.19,353.35,303.67,300.07
3040,321.15,340.73,345.79,327.39,353.74,303.73,300.13
3060,321.31,341.11,346.17,327.58,354.12,303.78,300.2
3080,321.46,341.5,346.56,327.77,354.5,303.83,300.26
3100,321.62,341.88,346.94,327.96,354.88,303.88,300.32
3120,321.78,342.27,347.33,328.16,355.27,303.93,300.38
3140,321.94,342.65,347.71,328.35,355.65,303.99,300.44
3160,322.1,343.04,348.1,328.54,356.03,304.04,300.51
3180,322.26,343.42,348.48,328.73,356.42,304.09,300.57
